"tree" "subplot" "plot" "Pc" "Hs" "Cc" "npodh"
"241" 241 49 25 1 5 12 20
"242" 242 50 25 1 0 0 2
"243" 243 49 25 1 7 6 16
"244" 244 50 25 1 4 2 9
"245" 245 49 25 1 6 2 11
"246" 246 50 25 1 0 1 2
"247" 247 49 25 1 5 1 7
"248" 248 50 25 1 8 6 16
"249" 249 49 25 1 2 4 8
"250" 250 50 25 1 10 5 15
"251" 251 51 26 1 7 12 26
"252" 252 52 26 1 5 7 14
"253" 253 51 26 1 4 15 21
"254" 254 52 26 1 0 6 7
"255" 255 51 26 1 10 1 11
"256" 256 52 26 1 16 22 48
"257" 257 51 26 1 5 1 6
"258" 258 52 26 1 1 11 13
"259" 259 51 26 1 3 14 23
"260" 260 52 26 1 6 0 7
"261" 261 53 27 0 7 2 12
"262" 262 54 27 0 11 1 16
"263" 263 53 27 0 0 0 0
"264" 264 54 27 0 10 0 12
"265" 265 53 27 0 0 0 0
"266" 266 54 27 0 7 0 8
"267" 267 53 27 0 2 0 2
"268" 268 54 27 0 7 3 10
"269" 269 53 27 0 1 0 1
"270" 270 54 27 0 1 1 2
"271" 271 55 28 1 3 15 31
"272" 272 56 28 1 1 11 14
"273" 273 55 28 1 2 2 9
"274" 274 56 28 1 0 3 3
"275" 275 55 28 0 0 5 17
"276" 276 56 28 1 0 3 5
"277" 277 55 28 1 5 8 19
"278" 278 56 28 1 4 5 16
"279" 279 55 28 1 6 17 53
"280" 280 56 28 1 3 21 30
"281" 281 57 29 1 49 0 55
"282" 282 58 29 1 8 1 14
"283" 283 57 29 1 48 8 59
"284" 284 58 29 1 7 3 17
"285" 285 57 29 0 12 5 19
"286" 286 58 29 1 11 11 33
"287" 287 57 29 0 22 9 36
"288" 288 58 29 0 72 17 107
"289" 289 57 29 0 21 0 23
"290" 290 58 29 0 5 2 10
"291" 291 59 30 1 1 0 15
"292" 292 60 30 1 0 1 10
"293" 293 59 30 1 1 0 2
"294" 294 60 30 1 1 2 6
"295" 295 59 30 1 1 2 3
"296" 296 60 30 1 0 3 12
"297" 297 59 30 1 0 0 5
"298" 298 60 30 1 0 2 6
"299" 299 59 30 1 12 3 15
"300" 300 60 30 1 0 9 15
"301" 301 61 31 0 19 7 34
"302" 302 62 31 0 1 1 3
